query1,query2,proba_0,proba_1
татьяна мамонова тула,лариса ковалева 30 декабря 1971 петрозаводск,0.44940653,0.55059344
татьяна мамонова кудинова тула,лариса ковалева 30 декабря 1971 петрозаводск,0.40014854,0.5998514
классификация эпителиальной ткани таблица,полости закрытый и открытые,0.42581335,0.5741867
классификация эпителиальной ткани таблица,открытые полости тела человека,0.4717503,0.52824974
25560-1KK0A,КАК ВКЛЮЧИТЬ ПЕРЕДНИЕ ПРОТИВОТУМАННЫЕ ФАРЫ NISSAN JUKE?,0.5225202,0.47747982
preep фотокниги,яркая графика,0.55485046,0.44514954
частотный преобразователь для насосной станции подбор,принцип работы узо в трехфазной сети,0.49906152,0.5009384
rums al rasasi 9325 pour elle rasasi,mango skin vilhelm parfumerie купить,0.539441,0.460559
Karim Soipov fargʻona tong otguncha,Oʻlmas Olloberganov,0.56823874,0.43176132
сопротивление свечи 0.33,датчик температуры воздуха на выпуске из чего состоит,0.4316244,0.5683756
В чулках,V chulkah,0.44679046,0.5532096
доминос пицца,пападжонс бай,0.47272152,0.5272785
домен что это,доменом МГИМО,0.54157805,0.45842192
л карнитин это,омега 9 норма в день википедия,0.52792805,0.47207195
где стоит обратный клапан на тнвд утн5 трактор т40ам,ослабевают задние бортовые на т40 как закрепить,0.46062276,0.5393772
администрация зырянского района томской области,образец личного заявления на включение в резерв,0.5615264,0.4384736
жижа олд скул овсяное печенье,вейп шоп,0.55881214,0.44118786
гкб 3,офтальмологическое отделение на айвазовского в краснодаре,0.5113078,0.48869222
смотреть фильмы robot po imeni chappi,lutshie porno filmi s syujetom,0.40840498,0.591595
террорист это,что такое вербование 7 класс,0.48757014,0.51242983
детский секс гиф,ogromniy chlen sobaka seks,0.54938525,0.4506148
ratatata baron black auer,рататата песня скачать бесплатно,0.4406736,0.55932635
гдз 8 класс русский язык ладыженская,письменный стол,0.59770477,0.4022953
таблица по истории 8 класс эпоха просвещения томас гоббс,письменный стол,0.5498417,0.45015836
mona lisa anal,kübra gökboğa,0.42329147,0.5767085
aegis boost plus акб,vardex красногорск,0.5326944,0.46730557
акб 18650 цена,vardex красногорск,0.40051094,0.5994891
kanye compliment,комплименты для девушки китаянке,0.52538526,0.4746147
бланки для проведения хронометража,виды документов ескд гост,0.59961057,0.4003894
макрель раскраска,ваша киска любит вискас порода кошки,0.5809403,0.41905972
таблица менделеева,решу егэ химия 2022 гущин,0.53316975,0.46683022
котел квкз,как правильно подключить пульт управления к котлу,0.4494084,0.5505915
prisme primer givenchy,помада состоящая на 95 процентов из натуральных ингредиентов позволит вам создать эффективный макияж губ,0.57335,0.42664996
пирога текст,решебник рабочей тетради по геометрии 8 класс атанасян,0.45334637,0.5466536
мининский университет,гдз по английскому языку 10 класс ваулина,0.5733809,0.42661908
мультфильмы 2020,легенда о волках,0.5649466,0.43505338
впр анг 7 кл,степени сравнения прилагательных в английском языке упражнения,0.44627708,0.5537229
see в past simple,be was were,0.4909229,0.5090771
развёрнутый угол,совпадающие лучи в геометрии,0.47333303,0.52666694
духи рф,каталог домов и коттеджей под ключ,0.5277596,0.47224036
джамал абакаров все,джон норика таданова,0.5483441,0.4516559
Павлова Елена казначейство село Визинга,Мелехина Алена Владимировна,0.5516859,0.44831407
Инсерт приемы,Кургузов мы пишем рассказ краткое содержание,0.5464388,0.45356122
ню видео,тепловой насос для отопления дома цены,0.54230666,0.45769328
call of duty black ops,monster trux extreme,0.5260683,0.47393176
ланквиц берлин район википедия,вагановка официальный сайт,0.5736986,0.42630142
mynet okey oyna,kore incest mom porno,0.52373934,0.4762607
комплекс конкурсов,паспорт регионального проекта спорт норма жизни,0.5890607,0.41093925
ялта музеи выставки,Алушта гостиница Алушта отзывы,0.536872,0.46312803
vst плагины электрогитара,Junkie XL,0.5091255,0.49087456
Junkie XL,vst плагины гитары,0.42816973,0.5718303
сиде премиум отель 5 звезд турция,сорал тревал тур,0.4324441,0.5675559
грибной суп как приготовить,в духовке рецепты быстро и вкусно,0.44555017,0.5544498
русский язык 8 класс ладыженская,гёрт история,0.56555074,0.4344493
рбт магазин екатеринбург,сбербанк онлайн,0.45128953,0.54871047
сбербанк онлайн,днс екатеринбург интернет магазин в екатеринбурге,0.41664654,0.58335346
александр александрович брест,юлька пунько белоозерск,0.4597134,0.54028654
"книга,я одержим тобой читать",jolly me моя страница,0.56959796,0.43040204
поднимать проверочное слово к букве и,корень с чередованием кас кос,0.4667295,0.53327054
расстилающийся туман проверочное слово к букве и,корень с чередованием кас кос,0.44229957,0.5577004
анализ на антитела ковид 5.4 что означает,какое количество антител должно быть для иммунитета от коронавируса,0.4974283,0.5025717
настольная книга прокурора,как прокуратура оформляет результат проверки о регистрации преступлений,0.43529862,0.5647013
фз 234-фз,постановление правительства 144,0.5705199,0.4294801
337 рв от 18.09.20,расчет обращение с тко частный дом в московской области,0.4980053,0.5019947
голубцы в сливочном соусе,хлебцы пикантные сладкая жизнь,0.57810324,0.42189673
осуществление мер по обеспечению законности прав и свобод граждан,назначение выборов государственной думы,0.48726144,0.5127386
солазола фул,ниа санчес,0.40782905,0.5921709
солазола фулл видео,ниа санчес,0.58612376,0.41387627
тёмная душа дьявола ваттпад,соучастники в любви ватпад,0.42177483,0.5782252
мораес джалишвили прогноз,усик джошуа бой,0.58002627,0.41997373
zinfandel,открытая клиника на ул 1905,0.5620773,0.43792275
перевод по фото,доппельгерц пробиотик,0.58024436,0.41975564
какие выводы можно сделать из противопоставления геракла и одиссея,значение былины добрыня и змей,0.57605475,0.42394525
дмш юбилейный королёв официальный сайт аттестация,nmcmosobl.ru,0.4363268,0.5636732
купить широкую липучку велкро широкая,pro shutter магазин,0.44584394,0.55415606
расписание кинотеатра гранд парк на 9 апреля,кино новинки 2021 смотреть онлайн бесплатно в хорошем качестве уже вышедшие без регистрации,0.47621763,0.5237824
pdf в word,odt чем открыть,0.4067718,0.59322816
вот из е нейм песня,гритинс сонг гуд морнинг гуд афтенун кукольный мультфильм,0.49959302,0.500407
наш город,дома москвы,0.50468946,0.49531054
синтаксический разбор,что такое лексика,0.44459307,0.5554069
кара делевинь брови,одри хепберн,0.56826913,0.43173084
дер спур обувь производитель,Le Creuset,0.5880252,0.41197476
linux ubuntu 16.04 esmtp postfix узнать сервер входящей и исходящей почты, КриптоПро ЭЦП Browser plug-in,0.5317685,0.4682315
МЕРОПРИЯТИЯ В БИБЛИОТЕКЕ ПОСВЯЩЕННЫЕ ДОСТОЕВСКОМУ,отчет в биб лиотекепутешествие в дом- музей ф.и.достоевского- виртуальная экскурсия-5,0.55607235,0.44392765
ПРОШЛИ МЕРОПРИЯТИЯ В БИБЛИОТЕКЕ ПОСВЯЩЕННЫЕ ДОСТОЕВСКОМУ,отчет в биб лиотекепутешествие в дом- музей ф.и.достоевского- виртуальная экскурсия-5,0.5540415,0.44595855
lunar gg,карта осу gimme the loot,0.5963141,0.40368596
скачать kion 3.1.33.9 mod,смотреть онлайн парад юмора от 26.09.21,0.53819114,0.4618088
тульская область ленинский район село архангельское погода,тула стоматолог Бондаренко федор иванович,0.4804433,0.51955664
золотой камуи 4,сериал офи,0.49866155,0.5013384
сериал офи,золотой камуи 3,0.47166455,0.52833545
Philips GC442/40,Tefal DT9100 Access Steam Care,0.58469754,0.4153024
альтернативные издержки пример,"Проблема редкости могла бы быть решена, если",0.5368592,0.46314073
справочник тпх,фенхель инструкция по применению цена,0.5257705,0.4742295
классификация живых организмов,педобионты это,0.4482795,0.5517205
х минус,вакансии вокалист спб певец,0.4619671,0.5380329
примеры самосознания,природа и общество неразрывная связь эссе,0.5702987,0.42970127
sich hören,урок 1 по немецкому языку Perfäkt beginnen,0.4187543,0.5812457
клетчатка продукты список,каротиноиды что это такое,0.5967306,0.40326947
калкан турция,тур 6 островов фетхие,0.5200734,0.47992662
ногинск вк,спотлайт 5 книга для учителя онлайн,0.48308906,0.516911
порно игра,pes 2021 скачать на пк,0.58256406,0.41743588
фирма34 ру,формат docx перевести в jpg,0.4527702,0.54722977
расстояние между точками,тело движется в противоположном направлении оси х со скоростью 200 м/с,0.53615505,0.46384498
целебрекс 200,аквадетрим капли взрослым дозировка,0.42588267,0.5741173
целебрекс 200,аскорбиновая кислота 1000мг,0.4855021,0.5144979
bokep indonesia dewi persik,Ngentot sampai mati,0.461315,0.538685
скачать майнкрафт tlauncher на пк,картинка с надписью бу,0.5475962,0.45240375
radmin vpn,картинка с надписью бу,0.541451,0.458549
вопросы и задания География на странице 19,географические открытия история 7 класс,0.46461093,0.53538907
порно фильмы,секс мультик с животными,0.4341506,0.5658494
